ID_MOEDA;DATA_REF;VL_COTACAO
COP;2020-02-14;1,673480034
ALL;2020-06-09;7,25168556
ILS;2020-10-20;4,829745948
THB;2020-07-14;5,002455175
LBP;2020-02-06;6,594653249
MRU;2020-08-05;3,538767636
HTG;2020-01-27;7,62300998
CRC;2020-10-06;6,76506269
MRO;2020-01-14;1,416136026
MZN;2020-07-01;7,588042557
SBD;2020-05-26;4,564121127
HTG;2020-04-10;6,90708822
RON;2020-10-14;5,450106442
BOB;2020-03-05;4,631014764
MGA;2020-08-10;1,296442032
XDR;2020-02-17;3,703969598
WST;2020-10-06;3,127687633
MZN;2020-08-03;7,880287647
NIO;2020-02-14;2,736348987
CVE;2020-05-05;5,616308093
ILS;2020-10-06;2,722677529
CDF;2020-02-27;1,580863178
WST;2020-03-11;5,01565516
FJD;2020-10-29;5,112622917
UYU;2020-07-30;4,499042869
CAD;2020-08-26;6,196438611
WST;2020-08-14;3,013840318
KMF;2020-01-21;4,198564947
SOS;2020-03-03;4,117434919
MMK;2020-08-24;7,79042244
XAU;2020-03-12;1,855563223
CZK;2020-09-04;5,260484278
KES;2020-04-16;6,004718184
SZL;2020-03-05;3,143217027
TRY;2020-02-10;2,912125289
CAD;2020-06-12;3,910689116
NIO;2020-07-29;3,149228096
GEL;2020-07-17;6,331006944
GBP;2020-02-24;1,253879309
LBP;2020-09-21;7,566001415
PHP;2020-08-10;7,387876928
OMR;2020-04-01;4,375278771
HTG;2020-06-17;6,444320619
XDR;2020-10-14;2,907507777
AWG;2020-06-30;6,634822309
SZL;2020-02-17;2,75899303
MRO;2020-03-10;3,12633872
COP;2020-09-18;6,707379043
ISK;2020-05-12;2,330400109
AFN;2020-03-17;4,556807041
JPY;2020-09-11;1,286503136
UGX;2020-04-13;6,259789109
GBP;2020-04-24;3,446604729
LSL;2020-08-06;1,675044239
MMK;2020-04-17;6,862346709
PEN;2020-08-14;3,901000559
CRC;2020-09-18;5,947508931
MZN;2020-04-02;7,585345566
HTG;2020-05-04;1,266565263
CRC;2020-07-16;2,997025013
XPF;2020-09-30;6,901649594
PGK;2020-10-02;4,596396148
KMF;2020-06-19;2,114123046
MGB;2020-05-19;3,64084816
CAD;2020-06-19;6,290546238
ISK;2020-07-28;2,664567053
TTD;2020-08-06;2,656352162
SBD;2020-09-23;5,513821602
JPY;2020-01-08;3,336889267
UGX;2020-09-04;4,849119306
SAR;2020-06-23;1,931425273
CAD;2020-08-31;4,558390856
XOF;2020-10-23;5,269194841
ANG;2020-03-04;3,613834441
LBP;2020-10-02;6,720085442
ARS;2020-02-06;5,378764689
XAF;2020-03-30;4,142768025
ALL;2020-06-30;1,100505471
ANG;2020-01-03;5,261279941
UGX;2020-05-07;4,103288651
LSL;2020-06-10;6,095918536
MRU;2020-03-09;2,112945199
MRU;2020-02-25;1,867045462
JPY;2020-09-10;5,305659294
ZAR;2020-10-15;6,84070611
VES;2020-03-30;1,642540991
KMF;2020-09-01;1,51269573
MRU;2020-08-27;3,451001942
JPY;2020-08-28;2,480825365
ZWL;2020-05-29;5,494303465
JPY;2020-06-12;1,892577171
CDF;2020-01-29;5,646210313
MGA;2020-01-09;3,623347759
KMF;2020-10-29;4,836113751
GIP;2020-10-12;7,692116201
CVE;2020-04-22;7,485403359
THB;2020-06-30;4,811678946
PGK;2020-04-16;6,842621207
XDR;2020-03-17;4,283455074
VES;2020-08-14;5,746714115
SSP;2020-05-28;2,722819805
RON;2020-10-09;3,387784123
BYN;2020-01-30;1,015325367
KES;2020-08-27;4,977261841
AWG;2020-04-28;4,153300643
OMR;2020-10-14;2,967861712
XDR;2020-06-01;7,729784787
THB;2020-01-02;6,873301566
ALL;2020-07-15;6,032643139
DZD;2020-06-16;5,3968876
NIO;2020-02-21;6,10014385
MXN;2020-10-01;4,492913723
COP;2020-05-29;5,05008477
CVE;2020-04-17;1,653421998
NIO;2020-09-24;2,067685902
MMK;2020-02-04;1,592463493
NIO;2020-10-14;4,018871248
KMF;2020-06-01;2,783731997
BYN;2020-09-23;4,986523986
ILS;2020-08-03;3,653607547
PHP;2020-01-02;3,079217315
XAU;2020-05-20;6,582490087
ANG;2020-03-31;1,998297215
EUR;2020-09-24;1,875524461
SZL;2020-05-04;4,11851722
XAF;2020-01-24;3,102501392
XDR;2020-02-03;4,982969999
GBP;2020-10-27;3,200325727
SSP;2020-10-29;3,504789472
OMR;2020-08-07;6,697085917
DZD;2020-03-30;1,209385216
RON;2020-03-06;2,759705245
GIP;2020-01-17;7,586799622
PHP;2020-06-10;3,65527606
CUP;2020-08-24;3,826729417
PHP;2020-01-29;6,065486014
BYN;2020-08-12;1,584274054
PHP;2020-05-22;4,418212831
LBP;2020-03-11;2,626561761
ISK;2020-04-16;7,661372423
UGX;2020-09-10;4,874448657
EGP;2020-09-07;6,454677999
GIP;2020-05-18;3,346561551
XAU;2020-10-15;4,932953835
EGP;2020-06-17;6,189033568
XAU;2020-07-15;7,72320044
FJD;2020-01-22;5,222183585
SSP;2020-07-20;4,971999705
RON;2020-02-27;4,407297194
VUV;2020-07-10;3,140764117
IRR;2020-03-11;6,501725137
LBP;2020-02-10;2,153474331
NIO;2020-07-28;4,545895994
LBP;2020-02-13;5,90159291
UYU;2020-03-13;3,288831174
MZN;2020-03-31;7,944925725
MRU;2020-09-02;3,546619952
PHP;2020-04-21;4,187529564
CZK;2020-05-01;5,256494701
DJF;2020-04-17;7,765750647
XOF;2020-07-14;5,796580493
MUR;2020-03-30;6,380086422
RON;2020-06-29;7,954069376
EGP;2020-07-31;7,926069319
MRO;2020-05-11;6,046236992
KMF;2020-07-23;1,014468372
THB;2020-02-21;4,481960118
PGK;2020-06-23;3,822545409
KES;2020-06-10;1,889384091
UYU;2020-08-25;4,556545019
BYN;2020-07-17;7,44263494
LSL;2020-07-24;2,361587405
DJF;2020-04-27;5,374640346
JPY;2020-07-30;5,76140821
EUR;2020-09-02;5,162775934
RON;2020-07-21;2,578198671
MZN;2020-04-20;3,928531229
ZWL;2020-05-05;6,467692733
SSP;2020-09-14;1,937247336
SSP;2020-07-06;3,849166095
TRY;2020-08-27;6,456701159
SBD;2020-07-30;4,413100064
XAF;2020-03-16;4,833851099
USD;2020-04-21;4,717475355
RON;2020-08-17;2,264368474
MRU;2020-06-23;1,706946254
MGA;2020-08-06;6,642982125
JPY;2020-01-03;1,590393603
EGP;2020-02-25;6,11741519
AWG;2020-03-06;1,585840762
SBD;2020-03-24;2,073749125
OMR;2020-04-29;7,077184737
UGX;2020-03-24;3,47511673
MRO;2020-07-23;5,169117033
BOB;2020-10-27;4,023207128
AFN;2020-02-05;5,85158509
UGX;2020-06-12;1,984956622
MMK;2020-09-17;7,583265662
XOF;2020-01-16;6,069323719
BOB;2020-08-20;7,634564817
HTG;2020-01-16;1,366491199
PHP;2020-01-24;3,162002921
PEN;2020-06-24;5,577785015
ARS;2020-08-31;7,596118927
BYN;2020-05-11;3,60357219
HTG;2020-06-23;6,101624191
XAU;2020-05-13;2,391141236
ISK;2020-09-08;2,474762142
TRY;2020-07-28;5,430156469
CRC;2020-04-22;7,940684974
THB;2020-02-12;2,775038123
CDF;2020-07-16;6,624525011
NOK;2020-10-21;7,218971193
NIO;2020-04-24;4,294593096
DZD;2020-10-29;7,339304805
ALL;2020-07-29;1,39240092
PEN;2020-10-13;2,312550485
UGX;2020-08-26;2,577680051
FJD;2020-03-04;7,760041237
XPF;2020-08-04;7,292853892
COP;2020-03-12;7,860579669
PHP;2020-09-23;4,192890584
WST;2020-03-23;4,512202382
XOF;2020-07-01;2,517852664
CZK;2020-02-24;6,218407989
XAF;2020-08-03;7,781517029
CLP;2020-04-28;2,377993405
EUR;2020-09-22;7,107132018
MGB;2020-10-07;1,85205847
CZK;2020-02-11;2,594573796
SGD;2020-10-16;7,468717813
SZL;2020-05-21;3,205106378
FJD;2020-05-15;1,040576696
MRU;2020-02-18;3,680682182
LSL;2020-04-03;7,589657664
WST;2020-07-06;3,572096169
MGB;2020-02-06;4,831486642
MRO;2020-10-20;1,955644369
KMF;2020-01-28;6,391834021
EGP;2020-05-28;5,113268793
CDF;2020-08-25;6,708510578
ISK;2020-06-18;3,778432667
TTD;2020-03-12;5,702784121
XDR;2020-07-02;6,508897781
THB;2020-03-20;5,253621638
XDR;2020-03-06;4,163602114
MUR;2020-03-31;2,721913159
MGB;2020-06-04;4,521834612
SZL;2020-03-18;6,427126884
MGB;2020-01-07;7,564610779
COP;2020-02-12;1,928581834
UYU;2020-02-13;7,138412356
CZK;2020-08-17;3,344246328
LSL;2020-07-31;6,70041126
GBP;2020-07-06;7,623471439
EUR;2020-02-07;4,681735218
PHP;2020-06-11;4,913189948
SZL;2020-10-15;5,092540681
XDR;2020-04-06;7,743426621
ISK;2020-03-24;5,468518913
CVE;2020-06-09;4,919544399
ILS;2020-10-08;1,199125469
VES;2020-01-20;3,579346836
PEN;2020-10-02;6,567076683
MRU;2020-04-15;1,940059483
SBD;2020-01-06;5,243905127
TTD;2020-06-04;1,73110944
PHP;2020-01-23;7,777599633
PHP;2020-01-08;4,841488957
VES;2020-10-15;6,36874938
AFN;2020-01-14;2,156246841
ARS;2020-03-06;7,828111053
MUR;2020-08-14;7,825762451
XAF;2020-05-29;1,327247977
NOK;2020-08-18;1,494495213
ISK;2020-09-07;6,508327842
JPY;2020-05-07;4,166673779
CLP;2020-10-12;3,323177338
OMR;2020-01-13;7,937979221
CUP;2020-03-18;2,635090411
SAR;2020-02-11;4,230042219
CAD;2020-09-03;7,104833066
MXN;2020-09-22;4,722823441
COP;2020-06-18;4,165898144
RON;2020-04-21;6,138113678
MUR;2020-08-17;3,240536928
XAF;2020-04-27;4,582105517
MMK;2020-06-09;3,019179225
ARS;2020-07-15;7,314737737
SSP;2020-03-16;6,115059078
ZWL;2020-10-16;5,461447239
TRY;2020-02-17;3,058438301
KMF;2020-06-30;7,088474631
ZWL;2020-01-24;3,853771091
UYU;2020-05-26;6,912787616
XDR;2020-09-11;3,76120013
VUV;2020-02-28;7,788785636
MRO;2020-04-15;6,274629235
ZAR;2020-06-29;5,537930131
TRY;2020-10-27;3,518919051
SLL;2020-10-12;4,207792461
CDF;2020-09-28;4,746780097
XPF;2020-04-23;1,854373693
MGA;2020-08-28;5,410170197
GEL;2020-07-27;2,052560389
LSL;2020-02-17;7,100049496
FJD;2020-04-14;7,770635188
VUV;2020-07-30;3,994437695
FJD;2020-01-10;1,449383616
SOS;2020-09-15;4,270761192
EUR;2020-03-20;7,57323581
XOF;2020-05-01;1,062211454
TTD;2020-04-24;6,841854334
SSP;2020-01-23;4,416395783
SLL;2020-08-14;7,325592875
UYU;2020-03-17;6,819166481
SAR;2020-10-22;2,266198039
TTD;2020-07-27;4,646621346
DJF;2020-02-05;7,862900734
ANG;2020-10-01;6,317837
JPY;2020-06-11;2,426368177
NOK;2020-06-16;4,417893648
XOF;2020-10-20;5,802491009
AWG;2020-05-04;4,943801045
MZN;2020-06-24;4,184089899
THB;2020-07-16;5,767173111
MUR;2020-06-16;3,968652725
XPF;2020-01-02;4,071587324
ISK;2020-06-08;6,636104882
CAD;2020-05-25;2,577685475
ZAR;2020-04-20;5,060318232
XPF;2020-02-05;2,12984395
PEN;2020-05-12;6,60445863
XOF;2020-05-26;6,468536377
RON;2020-06-08;3,913550913
SGD;2020-10-15;2,084663093
DZD;2020-07-20;7,242694199
AWG;2020-07-15;5,992191195
IRR;2020-10-09;4,089036405
NOK;2020-03-09;7,781620085
DJF;2020-09-08;4,783585429
TRY;2020-08-19;3,662165403
SOS;2020-01-27;3,130185187
UYU;2020-06-24;5,935089588
SLL;2020-09-15;1,236654282
NOK;2020-03-30;1,23790431
XAU;2020-06-05;5,402454734
XAU;2020-01-09;3,215581417
GBP;2020-01-10;1,141574919
XAU;2020-07-27;2,771474957
TTD;2020-07-07;6,051150322
AWG;2020-04-20;7,995418787
CVE;2020-09-23;3,213442266
LBP;2020-01-24;2,384510577
MRO;2020-08-31;2,037900925
ARS;2020-05-06;3,219169199
VUV;2020-05-05;4,996807933
XAU;2020-06-23;7,846881509
JPY;2020-05-14;1,864471138
EGP;2020-04-30;3,312731922
KMF;2020-10-06;3,945230961
ALL;2020-09-24;1,270004511
GIP;2020-06-12;4,127632916
CUP;2020-09-29;6,997430325
ILS;2020-05-06;4,160875082
DJF;2020-09-01;5,941310942
LBP;2020-03-10;3,644312441
BOB;2020-09-30;3,676621675
VES;2020-05-25;6,614914477
VUV;2020-06-04;5,470155716
DZD;2020-08-24;4,201269031
CDF;2020-07-06;2,995453298
ZWL;2020-08-05;3,272483587
AFN;2020-07-16;5,141023099
XAU;2020-01-17;1,348635316
CLP;2020-04-06;4,000854313
EUR;2020-10-23;1,034271479
ZAR;2020-10-30;7,541995943
XDR;2020-07-21;6,520766795
MGA;2020-09-25;1,777905822
FJD;2020-06-24;5,112911224
ZAR;2020-07-20;4,494278491
VUV;2020-09-11;6,893249452
CRC;2020-04-17;4,60750246
VUV;2020-09-18;2,915042162
BOB;2020-05-04;3,709288895
ILS;2020-05-28;2,380066633
EUR;2020-08-03;2,758799851
JPY;2020-10-02;4,311731339
CDF;2020-05-14;4,596885562
XAU;2020-05-22;7,211974621
DJF;2020-01-29;5,765248001
CRC;2020-09-22;7,758862972
CDF;2020-06-02;5,457755983
USD;2020-10-30;7,092874348
JPY;2020-03-04;4,416957378
DZD;2020-09-11;3,423930645
CUP;2020-10-28;4,931658328
MXN;2020-01-07;1,126348019
ANG;2020-08-11;2,358679712
JPY;2020-06-23;4,130482614
ZAR;2020-04-21;7,140934527
SZL;2020-03-02;3,31273818
OMR;2020-05-25;1,440634668
UYU;2020-02-12;4,571107686
SGD;2020-03-10;6,189300179
BYN;2020-02-06;4,369125009
PEN;2020-08-18;5,976396024
PEN;2020-08-13;5,121741533
SBD;2020-10-30;3,8701846
XAU;2020-01-07;5,187491536
KMF;2020-05-06;3,148312271
PHP;2020-07-13;6,187567413
NIO;2020-05-07;7,148621619
CRC;2020-05-27;7,057129622
PHP;2020-09-25;4,633435547
MRO;2020-06-10;1,65851891
HTG;2020-04-14;2,859065831
MUR;2020-04-06;2,814647257
MZN;2020-04-13;6,559369564
MGA;2020-01-20;1,454249799
BOB;2020-07-03;3,358357966
CAD;2020-03-19;5,955531061
SSP;2020-10-23;3,293955207
ANG;2020-08-21;7,506931722
MGA;2020-04-13;3,205469787
ZAR;2020-03-03;7,81657207
RON;2020-01-28;1,893912733
UGX;2020-07-02;1,544074535
XDR;2020-03-12;7,57265377
GEL;2020-09-03;4,471886456
USD;2020-01-06;2,228341281
SAR;2020-10-05;7,179293215
GEL;2020-04-07;2,045613885
IRR;2020-03-18;7,73220849
MUR;2020-10-05;4,911458433
CZK;2020-07-06;6,722682297
GEL;2020-03-20;3,095846534
SZL;2020-10-30;5,314962745
AWG;2020-03-23;6,882781506
GBP;2020-04-14;4,368197918
SBD;2020-04-21;2,031106293
PEN;2020-01-15;7,971377432
DZD;2020-10-15;1,571641922
MXN;2020-10-28;5,409118354
BOB;2020-04-24;7,319909751
NOK;2020-03-12;2,461371899
GIP;2020-07-23;3,112023473
WST;2020-05-14;1,504048586
CDF;2020-04-23;1,036822021
SOS;2020-05-06;7,009943545
CRC;2020-02-20;7,922034681
PGK;2020-03-11;1,888561726
PEN;2020-04-02;7,518933833
EGP;2020-10-09;3,719899118
CVE;2020-03-24;6,205150843
CLP;2020-09-22;3,837305427
CDF;2020-03-17;5,433526039
KES;2020-06-08;3,352514207
MXN;2020-04-21;5,714449108
MGB;2020-02-24;5,28805083
CDF;2020-09-30;3,872835696
GIP;2020-10-30;3,891801417
UYU;2020-07-03;6,982487142
CDF;2020-08-10;4,740122318
CUP;2020-01-13;3,746340394
CUP;2020-04-30;7,74194169
UGX;2020-05-04;6,18310219
RON;2020-01-07;7,768966675
FJD;2020-03-10;7,598089933
MRO;2020-10-29;1,613897979
BYN;2020-04-06;6,75444746
MGB;2020-03-09;1,762660563
NIO;2020-06-08;3,995234191
KMF;2020-07-02;4,598355055
USD;2020-07-30;4,48266691
XAU;2020-09-10;1,613442361
LSL;2020-04-29;5,828773737
SOS;2020-07-22;4,693003416
MGB;2020-08-07;5,393592715
VUV;2020-06-25;4,801255643
ALL;2020-10-08;4,057772756
TRY;2020-05-05;7,062852383
LBP;2020-03-24;3,442369401
SGD;2020-04-27;6,955490112
CRC;2020-05-19;5,21554625
MMK;2020-04-10;4,673728943
LSL;2020-07-03;3,282267272
RON;2020-06-17;4,043562651
IRR;2020-06-22;4,827764511
LSL;2020-02-19;3,121718287
RON;2020-01-02;3,288149416
ZWL;2020-07-15;5,015101492
CUP;2020-05-11;7,141324222
IRR;2020-05-25;4,497601748
CZK;2020-02-21;5,179696381
UYU;2020-06-23;7,159430444
WST;2020-10-01;1,744149208
MGA;2020-07-10;3,931280792
CZK;2020-01-29;7,399846077
TRY;2020-07-20;5,693668008
LBP;2020-10-08;2,766211569
KES;2020-01-10;4,527950823
TTD;2020-08-20;5,685547829
SSP;2020-05-08;7,871740222
CRC;2020-08-17;4,219235063
NOK;2020-04-13;3,050563455
SOS;2020-04-20;6,958368599
MGA;2020-05-28;1,734988451
MGB;2020-02-18;1,765078008
XDR;2020-05-29;6,665874004
ALL;2020-09-03;5,953904688
MGB;2020-05-25;2,806731939
SGD;2020-04-29;3,071660399
JPY;2020-04-01;3,533928156
THB;2020-05-22;2,78948772
CUP;2020-05-07;1,418729126
MGA;2020-03-12;7,362031043
TRY;2020-04-28;6,357260883
VES;2020-05-05;6,450438917
CUP;2020-08-27;4,190868676
XOF;2020-06-17;3,044005394
VES;2020-04-17;6,191022098
BOB;2020-02-28;1,267057598
FJD;2020-01-16;4,362068772
WST;2020-08-11;1,264517486
CLP;2020-05-11;5,493484855
MGA;2020-06-26;3,577576935
MRU;2020-02-17;7,654551923
ARS;2020-08-12;7,648191631
MXN;2020-01-22;4,485342205
DJF;2020-02-18;4,613979161
DZD;2020-03-06;7,12841922
MMK;2020-10-01;4,866522074
XAU;2020-07-06;2,386817873
XOF;2020-09-16;7,785343468
ARS;2020-07-29;2,049481213
MGA;2020-04-29;4,992024362
SOS;2020-06-10;6,660255551
VES;2020-01-09;6,70509553
MMK;2020-10-06;3,700329244
HTG;2020-03-04;6,160957575
CLP;2020-10-20;7,796803594
ISK;2020-10-29;1,855076313
PHP;2020-07-10;3,182347178
PGK;2020-02-13;4,587114394
KMF;2020-02-14;2,661100686
HTG;2020-04-22;6,427654684
ARS;2020-01-30;7,128407955
IRR;2020-09-25;6,98805052
JPY;2020-08-06;5,829600275
DJF;2020-03-03;5,841801822
CDF;2020-10-23;4,345753312
CAD;2020-02-12;4,955116808
CZK;2020-09-22;1,390073597
PHP;2020-07-01;5,188569248
LBP;2020-10-23;7,295377731
OMR;2020-07-31;4,214643002
ILS;2020-10-19;6,567571521
KMF;2020-04-17;1,386146188
GEL;2020-06-18;5,12657392
VES;2020-03-10;7,51972574
XAU;2020-04-30;2,338745594
LBP;2020-01-06;1,895114362
CUP;2020-01-24;7,391291559
GEL;2020-02-13;3,113115788
OMR;2020-01-17;7,58723855
EUR;2020-02-26;7,37901783
ANG;2020-01-22;5,386753023
SOS;2020-10-08;1,85010457
HTG;2020-04-24;2,105687439
ALL;2020-04-30;3,642786205
CLP;2020-02-27;4,222125649
FJD;2020-07-22;5,897797346
ZAR;2020-05-18;1,148461342
KES;2020-01-03;3,807871342
SLL;2020-07-21;1,072281361
XPF;2020-02-25;2,219514728
RON;2020-02-11;6,091676533
CZK;2020-03-06;4,123060882
XAF;2020-09-10;3,592754602
ZWL;2020-08-14;1,680668533
VES;2020-03-24;5,607736886
ILS;2020-08-10;4,533034801
ILS;2020-08-28;2,473564267
SZL;2020-08-03;5,779352546
COP;2020-09-22;7,504554331
XAU;2020-05-15;5,393033206
ISK;2020-09-16;6,576173604
VES;2020-01-17;4,870927215
UGX;2020-07-03;2,560026944
CUP;2020-09-01;5,781533003
GEL;2020-05-07;3,51549983
WST;2020-10-20;1,614893496
CLP;2020-05-12;5,382572353
SBD;2020-08-28;3,941478372
SBD;2020-07-10;3,830444038
VUV;2020-01-22;5,156196594
HTG;2020-06-18;6,761083126
BYN;2020-04-30;6,978942752
OMR;2020-03-30;6,660083234
THB;2020-10-05;2,231757998
EGP;2020-10-06;1,751774549
BYN;2020-07-06;6,192713559
IRR;2020-06-26;3,243831396
MZN;2020-03-09;4,50155586
CRC;2020-04-23;2,77955842
PHP;2020-02-21;3,335459828
COP;2020-07-24;3,705704868
TRY;2020-01-03;1,021690667
SOS;2020-09-21;7,81186527
AWG;2020-08-18;5,1004318
MRO;2020-08-11;6,390301108
SAR;2020-04-06;1,666068733
EGP;2020-04-01;3,720104814
ALL;2020-05-05;2,931932569
ARS;2020-08-26;4,09764725
BOB;2020-10-19;5,464826405
GIP;2020-03-25;7,030064583
CDF;2020-08-11;1,209188282
EUR;2020-01-16;3,649635494
PGK;2020-08-28;4,981363654
EGP;2020-10-14;2,98098743
MGB;2020-10-21;3,757747114
JPY;2020-03-18;1,483993888
DZD;2020-08-05;6,443301737
BYN;2020-09-07;2,839059949
XAU;2020-01-31;4,140629292
XAF;2020-07-24;2,17374599
GEL;2020-08-10;6,229729593
MZN;2020-10-14;5,930224657
CVE;2020-03-30;4,418569565
XAU;2020-07-21;3,325411201
CVE;2020-04-28;1,592900336
MGB;2020-02-11;5,88999927
FJD;2020-05-07;1,688182473
AWG;2020-08-13;7,472184598
UGX;2020-10-06;1,101182222
WST;2020-07-16;6,020393193
MRU;2020-10-30;5,588853776
MRU;2020-07-02;5,328077614
CVE;2020-10-07;7,700077832
MUR;2020-03-09;4,342210591
EGP;2020-07-16;6,069522738
COP;2020-10-19;1,299659729
SBD;2020-09-02;4,749873459
SOS;2020-10-30;5,300710917
SBD;2020-05-27;6,150644004
MUR;2020-02-05;7,250234008
TRY;2020-01-27;3,229304612
NIO;2020-04-14;5,838523626
NIO;2020-03-04;5,624235094
LSL;2020-01-17;4,44303149
VES;2020-01-16;1,345002472
MMK;2020-03-31;4,204422474
SOS;2020-02-03;7,704526782
CLP;2020-10-15;7,791779697
ARS;2020-08-10;1,835073769
TTD;2020-09-08;3,540331423
THB;2020-10-28;6,518669784
SSP;2020-03-20;1,764447153
XAU;2020-06-09;5,830425978
MUR;2020-06-25;7,32062906
SLL;2020-02-25;5,059058607
SSP;2020-07-15;4,693369746
XOF;2020-02-12;2,249593854
AWG;2020-08-20;5,053625822
HTG;2020-04-28;4,902074039
SSP;2020-09-17;2,369787693
VUV;2020-10-13;1,763762057
XDR;2020-02-05;7,443491101
ARS;2020-01-09;3,532792866
ARS;2020-05-14;2,72084254
IRR;2020-09-07;2,740090311
XAU;2020-07-09;2,272032619
SZL;2020-08-06;4,973218024
XPF;2020-03-23;7,950826228
HTG;2020-07-28;2,183900595
ANG;2020-05-05;4,990339577
LSL;2020-06-19;1,806828797
NOK;2020-06-08;6,252629399
JPY;2020-06-19;7,653906882
CZK;2020-03-10;3,358972132
OMR;2020-10-30;1,592888653
MRO;2020-10-26;6,722217083
SAR;2020-01-14;5,055019379
TTD;2020-09-15;4,784596801
MRU;2020-08-10;7,559647799
ARS;2020-08-27;5,668901086
RON;2020-02-21;3,998881638
SLL;2020-10-20;3,36543256
LSL;2020-07-28;1,410862207
SLL;2020-03-17;5,586589456
KES;2020-01-06;1,380941212
CRC;2020-08-25;3,004086256
ISK;2020-10-21;7,651010871
ILS;2020-02-25;7,964226067
MZN;2020-01-02;7,016839981
GEL;2020-01-29;6,029954493
KES;2020-07-08;3,971943438
PEN;2020-02-03;5,562331557
SAR;2020-03-10;1,970719814
CAD;2020-03-23;7,037238896
LBP;2020-06-19;5,68935883
BOB;2020-02-13;5,448316097
KMF;2020-08-21;4,419781208
ALL;2020-09-01;4,788122833
